name,pos,span,n_seasons,career_pa,mean_pct,total_fts,batter
Luis Ernesto (Montiel) Aparicio,SS,1957-1973,17,10627,38.787,6.571,aparl101
Ichiro Suzuki,CORNER_OF,2002-2014,13,8757,50.645,6.497,suzui001
Peter Edward Rose Sr.,CORNER_OF,1964-1981,18,12581,36.026,6.453,rosep001
Jacob Nelson Fox,2B,1950-1965,16,10010,42.998,6.123,fox-n101
Lawrence Robert Bowa,SS,1971-1985,15,8488,43.334,6.068,bowal001
Louis Clark Brock,CORNER_OF,1962-1979,18,11104,34.412,5.984,brocl102
Osborne Earl Smith,SS,1979-1995,17,9770,36.325,5.832,smito001
Juan D'Vaughn Pierre,CF,2001-2013,13,8053,47.959,5.703,pierj002
Robert Raymond Boone,C,1973-1988,16,7402,37.079,5.688,boonb001
Garret Joseph Anderson,CORNER_OF,1995-2010,16,9058,38.477,5.636,andeg001
Joseph Chris Carter,CORNER_OF,1984-1998,15,9011,41.321,5.634,cartj001
Brooks Calbert Robinson,3B,1959-1977,19,10963,34.390,5.610,robib104
Nicholas William Markakis,CORNER_OF,2007-2020,14,8703,41.697,5.472,markn001
Yadier Benjamin Molina,C,2005-2022,18,8356,30.540,5.403,moliy001
Marquis Deon Grissom,CF,1990-2005,16,8828,37.551,5.256,grism001
Bradley David Ausmus,C,1994-2009,16,6796,35.612,5.254,ausmb001
Andre Nolan Dawson,CORNER_OF,1977-1995,19,10474,28.972,5.252,dawsa001
Omar Enrique (Gonzalez) Vizquel,SS,1990-2007,18,10335,32.595,5.121,vizqo001
Johnny David Damon,CF,1996-2012,17,10673,31.302,5.034,damoj001
William James Surhoff,CORNER_OF,1988-2005,18,8581,33.030,4.949,surhb001
Roger Maxwell Cramer,CF,1930-1946,17,9712,38.880,4.940,cramd102
Donald Eulon Kessinger,SS,1965-1979,15,8449,39.076,4.844,kessd101
Jason Daniel Kendall,C,1997-2010,14,8191,36.251,4.789,kendj001
Harry Bartholomew Hooper,CORNER_OF,1911-1925,15,9253,32.413,4.779,hooph101
Craig Alan Biggio,2B,1989-2006,18,11752,27.593,4.759,biggc001
John Francis Collins,CORNER_OF,1911-1925,15,6677,40.337,4.723,colls101
Antonio Francesco (Padilla) Pena,C,1981-1997,17,6980,34.120,4.661,penat001
Steven Allen Finley,CF,1990-2005,16,9571,29.293,4.590,finls001
Gary Joseph Gaetti,3B,1982-1999,18,9719,27.469,4.585,gaetg001
Timothy Charles Wallach,3B,1981-1996,16,8807,30.887,4.507,wallt001
Maurice Morning Wills,SS,1960-1972,13,8013,37.413,4.466,willm102
William Henry Davis,CF,1962-1976,15,9210,30.339,4.453,daviw102
Dagoberto (Blanco) Campaneris,SS,1965-1981,17,9165,31.952,4.372,campb101
Frank White,2B,1974-1990,17,8290,29.229,4.350,whitf001
Howard Samuel Shanks,CORNER_OF,1913-1925,13,5953,37.980,4.344,shanh101
James Calvin Rollins,SS,2001-2016,16,10133,30.411,4.321,rollj001
Don Richard Ashburn,CF,1949-1962,14,9169,32.573,4.308,ashbr101
Luis Emilio Gonzalez,CORNER_OF,1991-2008,18,10359,25.783,4.307,gonzl001
Paul Leo Molitor,DH,1979-1997,19,10959,28.290,4.200,molip001
Willie James Wilson,CF,1978-1994,17,8247,32.464,4.159,wilsw001
Alfredo Claudino Griffin,SS,1980-1993,14,6551,36.061,4.133,grifa001
James Edward Hegan,C,1947-1960,14,4710,35.061,4.097,hegaj101
William Joseph Buckner,1B,1972-1990,19,9476,27.746,4.074,buckb001
Eddie Clarence Murray,1B,1978-1996,19,11750,21.217,4.021,murre001
Robert Clinton Richardson,2B,1958-1966,9,5406,49.843,4.001,richb102
Roy David McMillan,SS,1952-1966,15,7377,30.527,3.980,mcmir101
David Mark Winfield,CORNER_OF,1974-1992,17,10456,23.838,3.978,winfd001
Charles Theodore Davis,DH,1982-1999,18,9790,25.894,3.968,davic001
Michael Scott Matheny,C,1995-2006,12,4174,37.407,3.953,mathm001
Terry Lee Pendleton,3B,1985-1998,14,7280,33.521,3.916,pendt001
Brett Michael Gardner,CORNER_OF,2009-2021,13,6467,38.920,3.908,gardb001
Walter James Vincent Maranville,SS,1914-1932,19,9883,32.232,3.901,marar101
Jacob Ellsworth Daubert,1B,1911-1924,14,8101,28.356,3.896,daubj101
Alex Jonathan Gordon,CORNER_OF,2008-2020,13,6605,35.941,3.861,gorda001
George Joseph Burns,CORNER_OF,1912-1925,14,8224,34.869,3.847,burng101
James Howard Sundberg,C,1975-1989,15,6419,30.851,3.836,sundj001
James William Gilliam,2B,1954-1966,13,7555,32.153,3.829,gillj102
Calvin Edwin Ripken Jr.,SS,1983-2001,19,12084,21.671,3.817,ripkc001
Salvador Johan (Diaz) Perez,C,2012-2025,12,6547,34.347,3.814,peres002
Carlos Santana,1B,2011-2025,15,8998,25.517,3.788,santc002
Edgar Charles Rice,CORNER_OF,1916-1930,15,8986,35.632,3.774,rices101
Charles John Grimm,1B,1921-1936,16,7910,30.457,3.773,grimc101
Hugh Melville Critz,2B,1925-1935,11,5964,39.985,3.769,crith101
Torii Kedar Hunter,CF,1999-2015,17,9621,24.497,3.759,huntt001
Hubert Brooks,CORNER_OF,1981-1994,14,6325,34.062,3.754,brooh001
William Haron Bruton,CF,1954-1964,11,5958,38.514,3.738,brutb101
Rafael (Corrales) Palmeiro,1B,1987-2005,19,11796,21.598,3.737,palmr001
John Phalen McInnis,1B,1913-1926,14,7328,32.049,3.709,mcins101
Benito (Rivera) Santiago,C,1987-2005,19,7399,28.695,3.709,santb001
Eric Peter Karros,1B,1992-2004,13,7064,33.336,3.701,karre001
Steven Patrick Garvey,1B,1971-1987,17,9246,28.710,3.686,garvs001
Brett Morgan Butler,CF,1982-1997,16,9377,28.332,3.678,butlb001
Cesar Leonardo Tovar,CORNER_OF,1966-1976,11,6127,41.061,3.662,tovac101
Richard Morrow Groat,SS,1956-1967,12,7164,35.809,3.656,groad101
Devon Markes White,CF,1986-2001,16,8039,31.508,3.647,whitd001
Max George Carey,CF,1912-1929,18,10234,26.715,3.612,carem101
Nicholas Alexander Castellanos,CORNER_OF,2014-2025,12,6913,30.209,3.609,castn001
Jose (Dilan) Cruz,CORNER_OF,1971-1988,18,8762,27.330,3.590,cruzj001
James Philip Austin,3B,1911-1920,10,5188,36.634,3.581,austj101
Anthony John Pierzynski,C,1999-2016,18,7727,26.204,3.556,piera001
Ernest Banks,1B,1954-1971,18,10153,23.072,3.537,banke101
George William Cutshaw,2B,1913-1923,11,5796,35.952,3.509,cutsg101
Carl Michael Yastrzemski,CORNER_OF,1962-1980,19,11823,18.703,3.507,yastc101
